epoch,acc,loss,val_acc,val_loss
122,0.1037,14.4466487747,0.1002475249,14.5022961613
123,0.1037,14.4466486938,0.1002475249,14.5022961613
124,0.1037,14.4466487274,0.1002475249,14.5022961613
125,0.1037,14.4466487289,0.1002475249,14.5022961613
126,0.1037,14.4466487061,0.1002475249,14.5022961613
127,0.1037,14.4466486801,0.1002475249,14.5022961613
128,0.1037,14.4466487411,0.1002475249,14.5022961613
129,0.1037,14.4466487579,0.1002475249,14.5022961613
130,0.1037,14.4466487625,0.1002475249,14.5022961613
131,0.1037,14.4466487213,0.1002475249,14.5022961613
132,0.1037,14.4466487579,0.1002475249,14.5022961613
133,0.1037,14.4466487427,0.1002475249,14.5022961613
134,0.1037,14.4466486771,0.1002475249,14.5022961613
135,0.1037,14.4466486786,0.1002475249,14.5022961613
136,0.1037,14.4466487274,0.1002475249,14.5022961613
137,0.1037,14.4466487518,0.1002475249,14.5022961613
138,0.1037,14.4466486694,0.1002475249,14.5022961613
139,0.1037,14.4466487305,0.1002475249,14.5022961613
140,0.1037,14.4466487167,0.1002475249,14.5022961613
141,0.1037,14.4466487701,0.1002475249,14.5022961613
142,0.1037,14.4466487183,0.1002475249,14.5022961613
143,0.1037,14.4466487457,0.1002475249,14.5022961613
144,0.1037,14.4466487488,0.1002475249,14.5022961613
145,0.1037,14.4466487564,0.1002475249,14.5022961613
146,0.1037,14.4466488052,0.1002475249,14.5022961613
147,0.1037,14.4466487183,0.1002475249,14.5022961613
148,0.1037,14.446648703,0.1002475249,14.5022961613
149,0.1037,14.4466487274,0.1002475249,14.5022961613
,,,,
Test loss: ,14.5022960732,,,
Test accuracy: ,0.1002475248,,,
