epoch,acc,loss,val_acc,val_loss
0,0.0852,14.6646923492,0.0899339935,14.6685306593
0,0.10445,14.3302666199,0.0977722773,14.5421923301
0,0.1036,14.3663153671,0.1002475249,14.5022961613
1,0.1037,14.4466487549,0.1002475249,14.5022961613
2,0.1037,14.4466487762,0.1002475249,14.5022961613
3,0.1037,14.446648732,0.1002475249,14.5022961613
4,0.1037,14.4466486725,0.1002475249,14.5022961613
5,0.1037,14.4466487946,0.1002475249,14.5022961613
6,0.1037,14.4466487305,0.1002475249,14.5022961613
7,0.1037,14.4466487701,0.1002475249,14.5022961613
8,0.1037,14.4466487991,0.1002475249,14.5022961613
9,0.1037,14.4466487762,0.1002475249,14.5022961613
10,0.1037,14.4466487259,0.1002475249,14.5022961613
11,0.1037,14.4466486816,0.1002475249,14.5022961613
12,0.1037,14.446648764,0.1002475249,14.5022961613
13,0.1037,14.4466488205,0.1002475249,14.5022961613
14,0.1037,14.4466486786,0.1002475249,14.5022961613
15,0.1037,14.4466487885,0.1002475249,14.5022961613
16,0.1037,14.4466487549,0.1002475249,14.5022961613
17,0.1037,14.4466487991,0.1002475249,14.5022961613
18,0.1037,14.4466487366,0.1002475249,14.5022961613
19,0.1037,14.4466487488,0.1002475249,14.5022961613
20,0.1037,14.4466487457,0.1002475249,14.5022961613
21,0.1037,14.4466487061,0.1002475249,14.5022961613
22,0.1037,14.4466487381,0.1002475249,14.5022961613
23,0.1037,14.4466486771,0.1002475249,14.5022961613
24,0.1037,14.4466486908,0.1002475249,14.5022961613
25,0.1037,14.4466487183,0.1002475249,14.5022961613
26,0.1037,14.4466487045,0.1002475249,14.5022961613
27,0.1037,14.4466487152,0.1002475249,14.5022961613
28,0.1037,14.4466487152,0.1002475249,14.5022961613
29,0.1037,14.4466487274,0.1002475249,14.5022961613
30,0.1037,14.446648703,0.1002475249,14.5022961613
31,0.1037,14.4466487076,0.1002475249,14.5022961613
32,0.1037,14.4466487259,0.1002475249,14.5022961613
33,0.1037,14.4466487244,0.1002475249,14.5022961613
34,0.1037,14.446648732,0.1002475249,14.5022961613
35,0.1037,14.4466487839,0.1002475249,14.5022961613
36,0.1037,14.4466486603,0.1002475249,14.5022961613
37,0.1037,14.4466487793,0.1002475249,14.5022961613
38,0.1037,14.4466486237,0.1002475249,14.5022961613
39,0.1037,14.4466487152,0.1002475249,14.5022961613
40,0.1037,14.4466487579,0.1002475249,14.5022961613
41,0.1037,14.4466487427,0.1002475249,14.5022961613
42,0.1037,14.4466487518,0.1002475249,14.5022961613
43,0.1037,14.4466487366,0.1002475249,14.5022961613
44,0.1037,14.4466487442,0.1002475249,14.5022961613
45,0.1037,14.4466487244,0.1002475249,14.5022961613
46,0.1037,14.4466487732,0.1002475249,14.5022961613
47,0.1037,14.4466487244,0.1002475249,14.5022961613
48,0.1037,14.4466487503,0.1002475249,14.5022961613
49,0.1037,14.446648764,0.1002475249,14.5022961613
50,0.1037,14.4466486908,0.1002475249,14.5022961613
51,0.1037,14.4466487717,0.1002475249,14.5022961613
52,0.1037,14.4466487305,0.1002475249,14.5022961613
53,0.1037,14.4466487762,0.1002475249,14.5022961613
54,0.1037,14.4466486847,0.1002475249,14.5022961613
55,0.1037,14.4466487274,0.1002475249,14.5022961613
56,0.1037,14.4466487427,0.1002475249,14.5022961613
57,0.1037,14.4466488068,0.1002475249,14.5022961613
58,0.1037,14.4466487625,0.1002475249,14.5022961613
59,0.1037,14.4466487442,0.1002475249,14.5022961613
60,0.1037,14.446648761,0.1002475249,14.5022961613
61,0.1037,14.4466487762,0.1002475249,14.5022961613
62,0.1037,14.4466487091,0.1002475249,14.5022961613
63,0.1037,14.4466487473,0.1002475249,14.5022961613
64,0.1037,14.4466487442,0.1002475249,14.5022961613
65,0.1037,14.4466486832,0.1002475249,14.5022961613
66,0.1037,14.446648822,0.1002475249,14.5022961613
67,0.1037,14.4466487122,0.1002475249,14.5022961613
68,0.1037,14.4466487427,0.1002475249,14.5022961613
69,0.1037,14.4466487427,0.1002475249,14.5022961613
70,0.1037,14.4466487396,0.1002475249,14.5022961613
71,0.1037,14.4466487427,0.1002475249,14.5022961613
72,0.1037,14.4466487579,0.1002475249,14.5022961613
73,0.1037,14.4466487549,0.1002475249,14.5022961613
74,0.1037,14.4466487274,0.1002475249,14.5022961613
75,0.1037,14.4466487335,0.1002475249,14.5022961613
76,0.1037,14.4466487747,0.1002475249,14.5022961613
77,0.1037,14.446648761,0.1002475249,14.5022961613
78,0.1037,14.4466487564,0.1002475249,14.5022961613
79,0.1037,14.446648764,0.1002475249,14.5022961613
80,0.1037,14.4466487411,0.1002475249,14.5022961613
81,0.1037,14.4466486938,0.1002475249,14.5022961613
82,0.1037,14.4466487732,0.1002475249,14.5022961613
83,0.1037,14.4466487152,0.1002475249,14.5022961613
84,0.1037,14.4466488113,0.1002475249,14.5022961613
85,0.1037,14.4466486588,0.1002475249,14.5022961613
86,0.1037,14.4466487335,0.1002475249,14.5022961613
87,0.1037,14.4466487381,0.1002475249,14.5022961613
88,0.1037,14.4466487656,0.1002475249,14.5022961613
89,0.1037,14.4466486969,0.1002475249,14.5022961613
90,0.1037,14.4466487839,0.1002475249,14.5022961613
91,0.1037,14.4466488007,0.1002475249,14.5022961613
92,0.1037,14.4466487183,0.1002475249,14.5022961613
93,0.1037,14.4466487854,0.1002475249,14.5022961613
94,0.1037,14.4466487686,0.1002475249,14.5022961613
95,0.1037,14.4466487061,0.1002475249,14.5022961613
96,0.1037,14.4466486664,0.1002475249,14.5022961613
97,0.1037,14.4466487488,0.1002475249,14.5022961613
98,0.1037,14.4466487808,0.1002475249,14.5022961613
99,0.1037,14.4466487488,0.1002475249,14.5022961613
100,0.1037,14.4466487549,0.1002475249,14.5022961613
101,0.1037,14.446648793,0.1002475249,14.5022961613
102,0.1037,14.4466487274,0.1002475249,14.5022961613
103,0.1037,14.4466488205,0.1002475249,14.5022961613
104,0.1037,14.446648819,0.1002475249,14.5022961613
105,0.1037,14.4466487366,0.1002475249,14.5022961613
106,0.1037,14.4466487183,0.1002475249,14.5022961613
107,0.1037,14.4466487473,0.1002475249,14.5022961613
108,0.1037,14.4466487579,0.1002475249,14.5022961613
109,0.1037,14.4466487747,0.1002475249,14.5022961613
110,0.1037,14.4466487488,0.1002475249,14.5022961613
111,0.1037,14.4466487015,0.1002475249,14.5022961613
112,0.1037,14.4466487305,0.1002475249,14.5022961613
113,0.1037,14.4466488129,0.1002475249,14.5022961613
114,0.1037,14.4466488297,0.1002475249,14.5022961613
115,0.1037,14.4466487366,0.1002475249,14.5022961613
116,0.1037,14.4466487305,0.1002475249,14.5022961613
117,0.1037,14.4466487,0.1002475249,14.5022961613
118,0.1037,14.4466487671,0.1002475249,14.5022961613
119,0.1037,14.4466487579,0.1002475249,14.5022961613
120,0.1037,14.4466486969,0.1002475249,14.5022961613
121,0.1037,14.4466487671,0.1002475249,14.5022961613
